home_team,away_team,Year,rank_diff,points_diff,home_win_rate,away_win_rate,home_recent_win_rate,away_recent_win_rate,h2h_home_wins,h2h_draws,h2h_away_wins,stage,home_appearances,away_appearances,home_champion_count,away_champion_count,home_final_appearances,away_final_appearances,target
Germany,Italy,1962,5.0,-75.93000000000006,0.5555555555555556,0.7142857142857143,0.5833333333333334,0.4,0,0,0,1,4,4,1,2,1,2,1
Hungary,England,1962,31.0,-236.26999999999998,0.6,0.2,0.5555555555555556,0.2,0,0,0,1,4,3,0,0,2,0,0
Czechia,Spain,1962,28.0,-223.01,0.38461538461538464,0.4444444444444444,0.16666666666666666,0.5,0,0,0,1,4,2,0,0,1,0,0
Russia,Serbia,1962,12.0,-67.50999999999999,0.4,0.46153846153846156,0.4,0.4,0,0,0,1,1,4,0,0,0,0,0
Chile,Italy,1962,23.0,-216.5300000000002,0.5714285714285714,0.6666666666666666,0.5,0.3333333333333333,0,0,0,1,3,5,0,2,0,2,0
Brazil,Czechia,1962,-34.0,349.0899999999999,0.625,0.42857142857142855,0.6875,0.2857142857142857,1,1,0,1,7,5,1,0,2,1,1
England,Argentina,1962,2.0,-45.41000000000008,0.18181818181818182,0.6,0.18181818181818182,0.5,0,0,0,1,4,4,0,0,0,1,0
Serbia,Uruguay,1962,7.0,-75.09000000000015,0.42857142857142855,0.7857142857142857,0.36363636363636365,0.7,0,0,1,1,5,4,0,2,0,2,0
Spain,Mexico,1962,-6.0,70.32999999999993,0.4,0.0,0.42857142857142855,0.0,0,0,0,1,3,5,0,0,0,0,0
Russia,Colombia,1962,16.0,-114.93000000000006,0.5,0.0,0.5,0.0,0,0,0,1,2,1,0,0,0,0,1
Hungary,Bulgaria,1962,-36.0,156.84000000000015,0.625,0.0,0.6,0.0,0,0,0,1,5,1,0,0,2,0,0
Germany,Switzerland,1962,-4.0,14.289999999999964,0.5263157894736842,0.38461538461538464,0.5384615384615384,0.375,0,1,1,1,5,5,1,0,1,0,0
Germany,Chile,1962,-18.0,140.60000000000014,0.55,0.625,0.5714285714285714,0.6,0,0,0,1,5,3,1,0,1,0,0
Russia,Uruguay,1962,19.0,-142.60000000000014,0.42857142857142855,0.7333333333333333,0.42857142857142855,0.6363636363636364,0,0,0,1,2,4,0,2,0,2,0
Hungary,Argentina,1962,33.0,-281.68000000000006,0.6470588235294118,0.5454545454545454,0.6363636363636364,0.4,0,0,0,1,5,4,0,0,2,1,1
Brazil,Spain,1962,-6.0,126.07999999999993,0.6,0.45454545454545453,0.6470588235294118,0.5,1,0,1,1,7,3,1,0,2,0,0
England,Bulgaria,1962,-67.0,393.1100000000001,0.25,0.0,0.25,0.0,0,0,0,1,4,1,0,0,0,0,1
Mexico,Czechia,1962,-22.0,152.68000000000006,0.0,0.4,0.0,0.25,0,0,0,1,5,5,0,0,0,1,0
Italy,Switzerland,1962,-9.0,90.22000000000003,0.625,0.35714285714285715,0.2857142857142857,0.3333333333333333,0,0,2,1,5,5,2,0,2,0,0
Serbia,Colombia,1962,4.0,-47.42000000000007,0.4666666666666667,0.0,0.4166666666666667,0.0,0,0,0,1,5,1,0,0,0,0,0
Chile,Russia,1962,-4.0,13.5,0.5555555555555556,0.5,0.5,0.5,0,0,0,3,3,2,0,0,0,0,0
Brazil,England,1962,-4.0,112.82999999999993,0.6153846153846154,0.23076923076923078,0.6666666666666666,0.23076923076923078,0,1,0,3,7,4,1,0,2,0,0
Czechia,Hungary,1962,-1.0,0.009999999999990905,0.375,0.6111111111111112,0.2222222222222222,0.5833333333333334,0,0,0,3,5,5,0,0,1,2,0
Serbia,Germany,1962,10.0,-86.59000000000015,0.5,0.5714285714285714,0.46153846153846156,0.6,0,0,2,3,5,5,0,1,0,1,0
Brazil,Chile,1962,-28.0,331.69000000000005,0.6296296296296297,0.6,0.6842105263157895,0.5714285714285714,0,0,0,4,7,3,1,0,2,0,0
Czechia,Serbia,1962,14.0,-71.40999999999985,0.4117647058823529,0.5294117647058824,0.3,0.5,0,0,0,4,5,5,0,0,1,0,0
Chile,Serbia,1962,8.0,-54.00999999999999,0.5454545454545454,0.5,0.5,0.4666666666666667,0,0,0,5,3,5,0,0,0,0,0
Brazil,Czechia,1962,-34.0,349.0899999999999,0.6428571428571429,0.4444444444444444,0.7,0.36363636363636365,1,2,0,5,7,5,1,0,2,1,0
England,Uruguay,1966,-9.0,89.75999999999999,0.21428571428571427,0.6875,0.18181818181818182,0.5,0,0,1,1,4,4,0,2,0,2,1
Brazil,Bulgaria,1966,-71.0,505.94000000000005,0.6551724137931034,0.0,0.7333333333333333,0.0,0,0,0,1,7,1,2,0,3,0,0
Russia,Korea DPR,1966,-79.0,326.14999999999986,0.4444444444444444,0.0,0.4444444444444444,0.0,0,0,0,1,2,0,0,0,0,0,0
Germany,Switzerland,1966,-4.0,14.289999999999964,0.5454545454545454,0.3333333333333333,0.5625,0.2857142857142857,1,1,1,1,5,5,1,0,1,0,0
Argentina,Spain,1966,-4.0,58.66000000000008,0.5,0.4166666666666667,0.3333333333333333,0.3333333333333333,0,0,0,1,4,3,0,0,1,0,0
France,Mexico,1966,-9.0,114.88999999999987,0.5,0.07142857142857142,0.625,0.125,2,0,0,1,5,5,0,0,0,0,1
Italy,Chile,1966,-23.0,216.5300000000002,0.6470588235294118,0.5833333333333334,0.3333333333333333,0.6666666666666666,0,0,1,1,5,3,2,0,2,0,0
Portugal,Hungary,1966,-27.0,184.3599999999999,0.0,0.5789473684210527,0.0,0.5384615384615384,0,0,0,1,0,5,0,0,0,2,0
Spain,Switzerland,1966,-8.0,79.29999999999995,0.38461538461538464,0.3125,0.25,0.25,0,0,0,1,4,6,0,0,0,0,0
Uruguay,France,1966,10.0,-121.06999999999994,0.6470588235294118,0.4666666666666667,0.4444444444444444,0.5555555555555556,0,0,0,1,5,6,2,0,2,0,0
Hungary,Brazil,1966,35.0,-349.0999999999999,0.55,0.6666666666666666,0.5,0.75,1,0,0,1,6,8,0,2,2,3,0
Korea DPR,Chile,1966,83.0,-339.64999999999986,0.0,0.5384615384615384,0.0,0.5714285714285714,0,0,0,1,1,4,0,0,0,0,1
Germany,Argentina,1966,8.0,-123.67000000000007,0.5652173913043478,0.5384615384615384,0.5882352941176471,0.42857142857142855,1,0,0,1,6,5,1,0,1,1,1
Russia,Italy,1966,27.0,-230.0300000000002,0.5,0.6666666666666666,0.5,0.42857142857142855,0,0,0,1,3,6,0,2,0,2,0
Portugal,Bulgaria,1966,-63.0,341.20000000000005,1.0,0.0,1.0,0.0,0,0,0,1,1,2,0,0,0,0,0
England,Mexico,1966,-8.0,83.57999999999993,0.2,0.06666666666666667,0.16666666666666666,0.1111111111111111,0,0,0,1,5,6,0,0,0,0,0
Uruguay,Mexico,1966,1.0,-6.180000000000064,0.6666666666666666,0.0625,0.5,0.1,0,0,0,1,5,6,2,0,2,0,1
Argentina,Switzerland,1966,-12.0,137.96000000000004,0.5,0.29411764705882354,0.375,0.2222222222222222,0,0,0,1,5,6,0,0,1,0,0
Portugal,Brazil,1966,8.0,-164.74,1.0,0.6451612903225806,1.0,0.7058823529411765,0,0,0,1,1,8,0,2,0,3,0
Korea DPR,Italy,1966,106.0,-556.1800000000001,0.0,0.631578947368421,0.0,0.375,0,0,0,1,1,6,0,2,0,2,0
England,France,1966,1.0,-31.309999999999945,0.25,0.4375,0.23076923076923078,0.5,0,0,0,1,5,6,0,0,0,0,0
Hungary,Bulgaria,1966,-36.0,156.84000000000015,0.5714285714285714,0.0,0.5333333333333333,0.0,1,0,0,1,6,2,0,0,2,0,0
Germany,Spain,1966,4.0,-65.00999999999999,0.5416666666666666,0.42857142857142855,0.5555555555555556,0.4,0,0,0,1,6,4,1,0,1,0,0
Russia,Chile,1966,4.0,-13.5,0.5454545454545454,0.5,0.5454545454545454,0.5,0,0,1,1,3,4,0,0,0,0,0
